school_num,school,school_typ,address,city,zipcode,magnet,grdlevl,x,y,mag_focus,schl_stat
5301,ALBEMARLE ROAD,MIDDLE,6900 Democracy Drive,Charlotte,28212,Partial,6-8,1483401.99457,531780.995686,International Baccalaureate,Current
4300,ALBEMARLE ROAD,ELEMENTARY,7800 Riding Trail Road,Charlotte,28212,Non Magnet,K-5,1483354.99598,531183.999177,NA,Current
5399,ALEXANDER GRAHAM,MIDDLE,1800 Runnymede Lane,Charlotte,28211,Non Magnet,6-8,1452254.00044,520695.997515,NA,Current
4308,ALLENBROOK,ELEMENTARY,1430 Allenbrook Drive,Charlotte,28208,Non Magnet,K-5,1428362.00163,555687.998069,NA,Current
7302,ARDREY KELL,HIGH,10220 Ardrey Kell Road,Charlotte,28277,Non Magnet,9-12,1453101.00006,470752.997663,NA,Current
4311,ASHLEY PARK PRE K-8,MIDDLE,2401 Belfast Drive,Charlotte,28208,Non Magnet,6-8,1435293.00614,545021.995123,NA,Current
4311,ASHLEY PARK PRE K-8,ELEMENTARY,2401 Belfast Drive,Charlotte,28208,Non Magnet,PreK-5,1435293.00614,545021.995123,NA,Current
5313,BAILEY,MIDDLE,11900 Bailey Road,Cornelius,28031,Non Magnet,6-8,1452909.00044,630182.993107,NA,Current
4314,BAIN,ELEMENTARY,11540 Bain School Road,Charlotte,28227,Non Magnet,K-5,1507069.99875,522082.995069,NA,Current
4437,BALLANTYNE,ELEMENTARY,15425 Scholastic Drive,Charlotte,28277,Non Magnet,K-5,1444457.99995,473699.998003,NA,Current
4328,BARNETTE,ELEMENTARY,13659 Beatties Ford Road,Huntersville,28078,Non Magnet,K-5,1426380.0033,605919.995374,NA,Current
4316,BARRINGER ACADEMIC CENTER,ELEMENTARY,1546 Walton Road,Charlotte,28208,Partial,K-5,1435610.00715,537408.999522,Learning Immersion & Talent Development,Current
4369,BEREWICK,ELEMENTARY,5910 Dixie River Road,Charlotte,28278,Non Magnet,K-5,1408532.00225,524108.998891,NA,Current
7496,BERRY ACADEMY OF TECHNOLOGY,HIGH,1430 Alleghany Street,Charlotte,28208,Full,9-12,1435186.00111,547310.99481,STEM,Current
4319,BERRYHILL,MIDDLE,10501 Windy Grove Road,Charlotte,28278,Non Magnet,6-8,1405506.00109,538408.997194,NA,Current
4319,BERRYHILL,ELEMENTARY,10501 Windy Grove Road,Charlotte,28208,Non Magnet,K-5,1405506.00109,538408.997194,NA,Current
4322,BEVERLY WOODS,ELEMENTARY,6001 Quail Hollow Road,Charlotte,28210,Non Magnet,K-5,1450743.00674,507805.997376,NA,Current
4335,BILLINGSVILLE,ELEMENTARY,124 Skyland Avenue,Charlotte,28205,Partial,K-2,1459438.00149,531341.993611,International Baccalaureate,Current
4442,BLYTHE,ELEMENTARY,12202 Hambright Road,Huntersville,28078,Partial,K-5,1452971.99999,596980.998816,International Baccalaureate,Current
4329,BRIARWOOD ACADEMY,ELEMENTARY,1001 Wilann Drive,Charlotte,28215,Non Magnet,K-5,1472935.99549,551268.99772,NA,Current
4489,BRUNS ACADEMY,ELEMENTARY,501 South Bruns Avenue,Charlotte,28208,Partial,K-5,1443238.00633,547107.997512,Environmental Sustainability,Current
7361,BUTLER,HIGH,1810 Matthews-Mint Hill Rd,Matthews,28105,Non Magnet,9-12,1494309.99638,503109.995285,NA,Current
5333,CARMEL,MIDDLE,5001 Camilla Drive,Charlotte,28226,Non Magnet,6-8,1460485.00464,506719.999876,NA,Current
7334,CATO MIDDLE COLLEGE,HIGH,8120 Grier Road,Charlotte,28215,SchoolOption,11-13,1483269.99385,555791.99458,Early & Middle Colleges,Current
4336,CHANTILLY MONTESSORI,ELEMENTARY,701 Briar Creek Road,Charlotte,28205,Full,PreK-6,1462207.99792,535426.993643,Montessori,Current
4303,CHARLOTTE EAST LANGUAGE ACADEMY,ELEMENTARY,6108 Wilora Lake Road,Charlotte,28212,Partial,K-5,1477971.57794,535685.667667,World Languages,Current
7567,CHARLOTTE ENGINEERING EARLY COLLEGE,HIGH,9000 Robert D. Snyder Road,Charlotte,28262,SchoolOption,9-13,1479717.99275,571907.99286,Early & Middle Colleges,Current
7569,CHARLOTTE TEACHER EARLY COLLEGE,HIGH,9000 Robert D. Snyder Road,Charlotte,28262,SchoolOption,9-11,1479717.99275,571907.99286,Early & Middle Colleges,Current
4338,CLEAR CREEK,ELEMENTARY,13501 Albemarle Road,Charlotte,28227,Non Magnet,K-5,1514644.99803,540313.997649,NA,Current
5341,COCHRANE COLLEGIATE ACADEMY,MIDDLE,6200 Starhaven Drive,Charlotte,28215,Non Magnet,6-8,1477458.99235,549224.997543,<Null>,Current
4344,COLLINSWOOD LANGUAGE ACADEMY,MIDDLE,4000 Applegate Road,Charlotte,28209,Full,6-8,1440876.00679,527456.997444,World Languages,Current
4344,COLLINSWOOD LANGUAGE ACADEMY,ELEMENTARY,4000 Applegate Road,Charlotte,28209,Full,K-5,1440876.00679,527456.997444,World Languages,Current
5345,COMMUNITY HOUSE,MIDDLE,9500 Community House Road,Charlotte,28277,Non Magnet,6-8,1454081.00531,473102.994276,NA,Current
4346,CORNELIUS,ELEMENTARY,21126 Catawba Avenue,Cornelius,28031,Non Magnet,K-5,1445147.00514,635503.995589,NA,Current
4349,COTSWOLD,ELEMENTARY,300 Greenwich Road,Charlotte,28211,Partial,3-5,1462932.9968,525067.999269,International Baccalaureate,Current
5351,COULWOOD STEM ACADEMY,MIDDLE,500 Kentberry Drive,Charlotte,28214,Partial,6-8,1419825.00132,571324.994682,STEM,Current
5353,CRESTDALE,MIDDLE,940 Sam Newell Road,Matthews,28105,Partial,6-8,1486350.00016,506162.995413,Visual & Performing Arts,Current
